timestamp,consumption_kwh,temperature,status
2025-11-22 14:13:30,1.085,28.4,normal
2025-11-22 15:13:30,0.935,18.8,normal
2025-11-22 16:13:30,1.154,21.7,normal
2025-11-22 17:13:30,2.18,27.0,normal
2025-11-22 18:13:30,1.723,17.4,normal
2025-11-22 19:13:30,2.124,25.4,normal
2025-11-22 20:13:30,2.208,26.0,normal
2025-11-22 21:13:30,2.178,16.0,normal
2025-11-22 22:13:30,1.22,28.0,normal
2025-11-22 23:13:30,1.248,29.8,normal
2025-11-23 00:13:30,0.541,23.5,normal
2025-11-23 01:13:30,0.531,19.0,normal
2025-11-23 02:13:30,0.533,29.2,normal
2025-11-23 03:13:30,0.539,23.4,normal
2025-11-23 04:13:30,0.467,21.1,normal
2025-11-23 05:13:30,0.516,27.4,normal
2025-11-23 06:13:30,3.19,21.6,normal
2025-11-23 07:13:30,1.657,25.2,normal
2025-11-23 08:13:30,1.5,18.5,normal
2025-11-23 09:13:30,1.008,19.9,normal
2025-11-23 10:13:30,1.096,28.7,normal
2025-11-23 11:13:30,1.145,24.7,normal
2025-11-23 12:13:30,1.115,21.4,normal
2025-11-23 13:13:30,0.992,19.2,normal
2025-11-23 14:13:30,0.986,28.1,normal
2025-11-23 15:13:30,1.089,18.8,normal
2025-11-23 16:13:30,0.977,29.3,normal
2025-11-23 17:13:30,1.797,19.3,normal
2025-11-23 18:13:30,1.821,15.9,normal
2025-11-23 19:13:30,2.054,28.5,normal
2025-11-23 20:13:30,1.859,17.3,normal
2025-11-23 21:13:30,2.188,26.9,normal
2025-11-23 22:13:30,1.232,20.7,normal
2025-11-23 23:13:30,1.216,16.3,normal
2025-11-24 00:13:30,0.881,23.4,normal
2025-11-24 01:13:30,0.525,15.2,normal
2025-11-24 02:13:30,0.449,15.0,normal
2025-11-24 03:13:30,0.464,16.8,normal
2025-11-24 04:13:30,0.551,18.5,normal
2025-11-24 05:13:30,0.508,23.3,normal
2025-11-24 06:13:30,1.561,23.6,normal
2025-11-24 07:13:30,1.496,22.9,normal
2025-11-24 08:13:30,1.462,27.9,normal
2025-11-24 09:13:30,0.827,18.0,normal
2025-11-24 10:13:30,0.863,22.5,normal
2025-11-24 11:13:30,0.914,24.4,normal
2025-11-24 12:13:30,0.844,25.4,normal
2025-11-24 13:13:30,2.987,29.7,normal
2025-11-24 14:13:30,1.011,26.8,normal
2025-11-24 15:13:30,1.048,24.6,normal
2025-11-24 16:13:30,1.042,15.3,normal
2025-11-24 17:13:30,1.604,20.6,normal
2025-11-24 18:13:30,1.531,26.5,normal
2025-11-24 19:13:30,1.627,17.5,normal
2025-11-24 20:13:30,1.616,27.0,normal
2025-11-24 21:13:30,1.828,27.0,normal
2025-11-24 22:13:30,1.198,18.7,normal
2025-11-24 23:13:30,0.95,19.1,normal
2025-11-25 00:13:30,0.465,24.1,normal
2025-11-25 01:13:30,0.545,21.8,normal
2025-11-25 02:13:30,0.505,29.2,normal
2025-11-25 03:13:30,0.538,17.8,normal
2025-11-25 04:13:30,0.463,15.1,normal
2025-11-25 05:13:30,0.448,27.0,normal
2025-11-25 06:13:30,1.555,20.2,normal
2025-11-25 07:13:30,1.3,18.6,normal
2025-11-25 08:13:30,1.446,18.4,normal
2025-11-25 09:13:30,0.895,19.4,normal
2025-11-25 10:13:30,0.983,29.7,normal
2025-11-25 11:13:30,1.074,23.2,normal
2025-11-25 12:13:30,0.943,27.7,normal
2025-11-25 13:13:30,0.905,27.7,normal
2025-11-25 14:13:30,1.098,28.3,normal
2025-11-25 15:13:30,1.07,22.7,normal
2025-11-25 16:13:30,1.071,16.7,normal
2025-11-25 17:13:30,1.932,20.4,normal
2025-11-25 18:13:30,1.934,16.4,normal
2025-11-25 19:13:30,2.025,23.9,normal
2025-11-25 20:13:30,1.557,23.6,normal
2025-11-25 21:13:30,2.04,24.0,normal
2025-11-25 22:13:30,1.183,15.8,normal
2025-11-25 23:13:30,1.166,27.7,normal
2025-11-26 00:13:30,0.507,19.5,normal
2025-11-26 01:13:30,0.495,18.7,normal
2025-11-26 02:13:30,0.482,22.0,normal
2025-11-26 03:13:30,0.505,25.2,normal
2025-11-26 04:13:30,0.544,21.4,normal
2025-11-26 05:13:30,0.465,21.7,normal
